key,label,definitionUuid,catalogCategory,catalogPath,effectiveCategory,effectivePath,source,targets,stages,secondaryCategories,review
td_instance_deform,TDInstanceDeform,sgrape.builtin.td_instance_deform,math,math,math,math,td,mat,vertex,,
td_instance_vector,TDInstanceDeformVec,sgrape.builtin.td_instance_vector,math,math,math,math,td,mat,vertex,,
td_deform_instance,TDDeform · Instance,sgrape.builtin.td_deform_instance,math,math,math,math,td,mat,vertex,,
td_deform_normal_instance,TDDeformNorm · Instance,sgrape.builtin.td_deform_normal_instance,math,math,math,math,td,mat,vertex,,
td_deform_vector_instance,TDDeformVec · Instance,sgrape.builtin.td_deform_vector_instance,math,math,math,math,td,mat,vertex,,
td_instance_texcoord,TDInstanceTexCoord,sgrape.builtin.td_instance_texcoord,math,math,math,math,td,mat,vertex,,
td_quad_reproject,TDQuadReproject,sgrape.builtin.td_quad_reproject,math,math,math,math,td,mat,vertex,,
td_world_to_proj_uv,TDWorldToProj,sgrape.builtin.td_world_to_proj_uv,math,math,math,math,td,mat,vertex,,
td_front_facing,TDFrontFacing,sgrape.builtin.td_front_facing,math,math,math,math,td,mat,pixel,,
td_pixel_color,TDPixelColor,sgrape.builtin.td_pixel_color,math,math,math,math,td,mat,pixel,,
td_fog,TDFog,sgrape.builtin.td_fog,math,math,math,math,td,mat,pixel,,
td_hardshadow,TDHardShadow,sgrape.builtin.td_hardshadow,math,math,math,math,td,mat,pixel,,
td_softshadow,TDSoftShadow,sgrape.builtin.td_softshadow,math,math,math,math,td,mat,pixel,,
td_projmap,TDProjMap,sgrape.builtin.td_projmap,math,math,math,math,td,mat,pixel,,
td_compareshadowtexture,TDCompareShadowTexture,sgrape.builtin.td_compareshadowtexture,math,math,math,math,td,mat,pixel,,
td_compareshadowtextureproj,TDCompareShadowTextureProj,sgrape.builtin.td_compareshadowtextureproj,math,math,math,math,td,mat,pixel,,
td_shadowtexture,TDShadowTexture,sgrape.builtin.td_shadowtexture,math,math,math,math,td,mat,pixel,,
td_shadowtextureproj,TDShadowTextureProj,sgrape.builtin.td_shadowtextureproj,math,math,math,math,td,mat,pixel,,
td_projtexture,TDProjTexture,sgrape.builtin.td_projtexture,math,math,math,math,td,mat,pixel,,
td_projtextureproj,TDProjTextureProj,sgrape.builtin.td_projtextureproj,math,math,math,math,td,mat,pixel,,
td_conelookup,TDConeLookup,sgrape.builtin.td_conelookup,math,math,math,math,td,mat,pixel,,
td_env_light_texture,TDEnvLightTextureLod,sgrape.builtin.td_env_light_texture,math,math,math,math,td,mat,pixel,,
td_attenuate_light,TDAttenuateLight,sgrape.builtin.td_attenuate_light,math,math,math,math,td,mat,pixel,,
td_instance_color,TDInstanceColor,sgrape.builtin.td_instance_color,math,math,math,math,td,mat,vertex,,
td_instance_texture,TDInstanceTexture,sgrape.builtin.td_instance_texture,math,math,math,math,td,mat,"vertex,pixel",,
texture_size_1d,textureSize · sampler1D,sgrape.builtin.texture_size_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_levels_1d,textureQueryLevels · sampler1D,sgrape.builtin.texture_levels_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_sample_1d,texture · sampler1D,sgrape.builtin.texture_sample_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_1d,textureLod · sampler1D,sgrape.builtin.texture_lod_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_bias_1d,texture · sampler1D · Bias,sgrape.builtin.texture_bias_1d,math,math,math,math,glsl,"top,mat",pixel,,
texture_grad_1d,textureGrad · sampler1D,sgrape.builtin.texture_grad_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_1d,texelFetch · sampler1D,sgrape.builtin.texel_fetch_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_1d,textureProj · sampler1D,sgrape.builtin.texture_proj_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_query_lod_1d,textureQueryLod · sampler1D,sgrape.builtin.texture_query_lod_1d,math,math,math,math,glsl,"top,mat",pixel,,
texture_offset_1d,textureOffset · sampler1D,sgrape.builtin.texture_offset_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_offset_1d,textureLodOffset · sampler1D,sgrape.builtin.texture_lod_offset_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_grad_offset_1d,textureGradOffset · sampler1D,sgrape.builtin.texture_grad_offset_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_offset_1d,texelFetchOffset · sampler1D,sgrape.builtin.texel_fetch_offset_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_lod_1d,textureProjLod · sampler1D,sgrape.builtin.texture_proj_lod_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_grad_1d,textureProjGrad · sampler1D,sgrape.builtin.texture_proj_grad_1d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_size_2d,textureSize · sampler2D,sgrape.builtin.texture_size_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_levels_2d,textureQueryLevels · sampler2D,sgrape.builtin.texture_levels_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_sample_2d,texture · sampler2D,sgrape.builtin.texture_sample_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_2d,textureLod · sampler2D,sgrape.builtin.texture_lod_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_bias_2d,texture · sampler2D · Bias,sgrape.builtin.texture_bias_2d,math,math,math,math,glsl,"top,mat",pixel,,
texture_grad_2d,textureGrad · sampler2D,sgrape.builtin.texture_grad_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_2d,texelFetch · sampler2D,sgrape.builtin.texel_fetch_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_2d,textureProj · sampler2D,sgrape.builtin.texture_proj_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_query_lod_2d,textureQueryLod · sampler2D,sgrape.builtin.texture_query_lod_2d,math,math,math,math,glsl,"top,mat",pixel,,
texture_gather_2d,textureGather · sampler2D,sgrape.builtin.texture_gather_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_offset_2d,textureOffset · sampler2D,sgrape.builtin.texture_offset_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_offset_2d,textureLodOffset · sampler2D,sgrape.builtin.texture_lod_offset_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_grad_offset_2d,textureGradOffset · sampler2D,sgrape.builtin.texture_grad_offset_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_offset_2d,texelFetchOffset · sampler2D,sgrape.builtin.texel_fetch_offset_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_lod_2d,textureProjLod · sampler2D,sgrape.builtin.texture_proj_lod_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_grad_2d,textureProjGrad · sampler2D,sgrape.builtin.texture_proj_grad_2d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_size_3d,textureSize · sampler3D,sgrape.builtin.texture_size_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_levels_3d,textureQueryLevels · sampler3D,sgrape.builtin.texture_levels_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_sample_3d,texture · sampler3D,sgrape.builtin.texture_sample_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_3d,textureLod · sampler3D,sgrape.builtin.texture_lod_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_bias_3d,texture · sampler3D · Bias,sgrape.builtin.texture_bias_3d,math,math,math,math,glsl,"top,mat",pixel,,
texture_grad_3d,textureGrad · sampler3D,sgrape.builtin.texture_grad_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_3d,texelFetch · sampler3D,sgrape.builtin.texel_fetch_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_3d,textureProj · sampler3D,sgrape.builtin.texture_proj_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_query_lod_3d,textureQueryLod · sampler3D,sgrape.builtin.texture_query_lod_3d,math,math,math,math,glsl,"top,mat",pixel,,
texture_offset_3d,textureOffset · sampler3D,sgrape.builtin.texture_offset_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_offset_3d,textureLodOffset · sampler3D,sgrape.builtin.texture_lod_offset_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_grad_offset_3d,textureGradOffset · sampler3D,sgrape.builtin.texture_grad_offset_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_offset_3d,texelFetchOffset · sampler3D,sgrape.builtin.texel_fetch_offset_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_lod_3d,textureProjLod · sampler3D,sgrape.builtin.texture_proj_lod_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_proj_grad_3d,textureProjGrad · sampler3D,sgrape.builtin.texture_proj_grad_3d,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_size_2darray,textureSize · sampler2DArray,sgrape.builtin.texture_size_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_levels_2darray,textureQueryLevels · sampler2DArray,sgrape.builtin.texture_levels_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_sample_2darray,texture · sampler2DArray,sgrape.builtin.texture_sample_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_2darray,textureLod · sampler2DArray,sgrape.builtin.texture_lod_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_bias_2darray,texture · sampler2DArray · Bias,sgrape.builtin.texture_bias_2darray,math,math,math,math,glsl,"top,mat",pixel,,
texture_grad_2darray,textureGrad · sampler2DArray,sgrape.builtin.texture_grad_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_2darray,texelFetch · sampler2DArray,sgrape.builtin.texel_fetch_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_query_lod_2darray,textureQueryLod · sampler2DArray,sgrape.builtin.texture_query_lod_2darray,math,math,math,math,glsl,"top,mat",pixel,,
texture_gather_2darray,textureGather · sampler2DArray,sgrape.builtin.texture_gather_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_offset_2darray,textureOffset · sampler2DArray,sgrape.builtin.texture_offset_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_offset_2darray,textureLodOffset · sampler2DArray,sgrape.builtin.texture_lod_offset_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_grad_offset_2darray,textureGradOffset · sampler2DArray,sgrape.builtin.texture_grad_offset_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texel_fetch_offset_2darray,texelFetchOffset · sampler2DArray,sgrape.builtin.texel_fetch_offset_2darray,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_size_cube,textureSize · samplerCube,sgrape.builtin.texture_size_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_levels_cube,textureQueryLevels · samplerCube,sgrape.builtin.texture_levels_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_sample_cube,texture · samplerCube,sgrape.builtin.texture_sample_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_lod_cube,textureLod · samplerCube,sgrape.builtin.texture_lod_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_bias_cube,texture · samplerCube · Bias,sgrape.builtin.texture_bias_cube,math,math,math,math,glsl,"top,mat",pixel,,
texture_grad_cube,textureGrad · samplerCube,sgrape.builtin.texture_grad_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_query_lod_cube,textureQueryLod · samplerCube,sgrape.builtin.texture_query_lod_cube,math,math,math,math,glsl,"top,mat",pixel,,
texture_gather_cube,textureGather · samplerCube,sgrape.builtin.texture_gather_cube,math,math,math,math,glsl,"top,mat","vertex,pixel",,
texture_size_buffer,textureSize · samplerBuffer,sgrape.builtin.texture_size_buffer,math,math,math,math,glsl,"top,mat","vertex,pixel",,
td_lighting,TDLighting,sgrape.builtin.td_lighting,math,math,math,math,td,mat,pixel,,
td_lighting_pbr,TDLightingPBR,sgrape.builtin.td_lighting_pbr,math,math,math,math,td,mat,pixel,,
td_env_lighting_pbr,TDEnvLightingPBR,sgrape.builtin.td_env_lighting_pbr,math,math,math,math,td,mat,pixel,,
material_phong,Phong Material,sgrape.builtin.material_phong,math,math,math,math,td,mat,pixel,,
material_pbr,PBR Material,sgrape.builtin.material_pbr,math,math,math,math,td,mat,pixel,,
vertex_input,Vertex Inputs,sgrape.builtin.vertex_input,coordinate,coordinate,coordinate,coordinate,editor,mat,pixel,,
td_lighting_all,Phong Lights,sgrape.builtin.td_lighting_all,math,math,math,math,td,mat,pixel,,
td_lighting_pbr_all,PBR Lights,sgrape.builtin.td_lighting_pbr_all,math,math,math,math,td,mat,pixel,,
td_env_lighting_pbr_all,PBR Environment Lights,sgrape.builtin.td_env_lighting_pbr_all,math,math,math,math,td,mat,pixel,,
tex_attribute,Texture Attribute,sgrape.builtin.tex_attribute,shader,shader/geometry,shader,shader/geometry,td,mat,vertex,,
td_instance_texcoord_current,TDInstanceTexCoord (Current),sgrape.builtin.td_instance_texcoord_current,shader,shader/geometry,shader,shader/geometry,td,mat,vertex,,
td_instance_color_current,TDInstanceColor (Current),sgrape.builtin.td_instance_color_current,shader,shader/geometry,shader,shader/geometry,td,mat,vertex,,
td_instance_color_pixel,TDInstanceColor (Pixel),sgrape.builtin.td_instance_color_pixel,shader,shader/output,shader,shader/output,td,mat,pixel,,
td_convert_color_space,TDConvertColorSpace,sgrape.builtin.td_convert_color_space,shader,shader/output,shader,shader/output,td,mat,pixel,,
td_projtexture_lod,TDProjTextureLod,sgrape.builtin.td_projtexture_lod,texture,texture,texture,texture,td,mat,pixel,,
td_projtexture_size,TDProjTextureSize,sgrape.builtin.td_projtexture_size,texture,texture,texture,texture,td,mat,pixel,,
