key,label,definitionUuid,catalogCategory,catalogPath,effectiveCategory,effectivePath,source,targets,stages,secondaryCategories,review
round,Round,sgrape.builtin.round,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
ceil,Ceil,sgrape.builtin.ceil,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
trunc,Truncate,sgrape.builtin.trunc,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
mod,Modulo,sgrape.builtin.mod,math,math/range,math,math/range,glsl,"top,mat","vertex,pixel",,
rgb_to_hsv,RGB to HSV,sgrape.builtin.rgb_to_hsv,color,color,color,color,td,"top,mat","vertex,pixel",,
hsv_to_rgb,HSV to RGB,sgrape.builtin.hsv_to_rgb,color,color,color,color,td,"top,mat","vertex,pixel",,
remap,Remap,sgrape.builtin.remap,math,math/range,math,math/range,td,"top,mat","vertex,pixel",,
range_from,Range From,sgrape.builtin.range_from,math,math/range,math,math/range,editor,"top,mat","vertex,pixel",,
range_to,Range To,sgrape.builtin.range_to,math,math/range,math,math/range,editor,"top,mat","vertex,pixel",,
loop,Loop,sgrape.builtin.loop,math,math/range,math,math/range,td,"top,mat","vertex,pixel",,
zigzag,Zigzag,sgrape.builtin.zigzag,math,math/range,math,math/range,td,"top,mat","vertex,pixel",,
perlin_noise,Perlin Noise,sgrape.builtin.perlin_noise,math,math,math,math,td,"top,mat","vertex,pixel",texture,
simplex_noise,Simplex Noise,sgrape.builtin.simplex_noise,math,math,math,math,td,"top,mat","vertex,pixel",texture,
matrix,Matrix,sgrape.builtin.matrix,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_combine,Matrix Combine,sgrape.builtin.matrix_combine,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_replace,Matrix Replace,sgrape.builtin.matrix_replace,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_split,Matrix Split,sgrape.builtin.matrix_split,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_get,Matrix Get,sgrape.builtin.matrix_get,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_set,Matrix Set,sgrape.builtin.matrix_set,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
transpose,Transpose,sgrape.builtin.transpose,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
inverse,Inverse,sgrape.builtin.inverse,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
determinant,Determinant,sgrape.builtin.determinant,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
matrix_comp_mult,Matrix Component Multiply,sgrape.builtin.matrix_comp_mult,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
outer_product,Outer Product,sgrape.builtin.outer_product,matrix,matrix,matrix,matrix,editor,"top,mat","vertex,pixel",,
array,Array,sgrape.builtin.array,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
array_get,Array[i],sgrape.builtin.array_get,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
array_replace,Array Replace,sgrape.builtin.array_replace,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
array_length,Array Length,sgrape.builtin.array_length,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
struct_field,Field,sgrape.builtin.struct_field,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
builtin_source,Built-in Source,sgrape.builtin.builtin_source,array,array,data,data,td,"top,mat","vertex,pixel",,catalog/UI category differs
array_create,Array Create,sgrape.builtin.array_create,array,array,data,data,editor,"top,mat","vertex,pixel",,catalog/UI category differs
buffer_fetch,Buffer Fetch,sgrape.builtin.buffer_fetch,texture,texture/buffer,texture,texture/buffer,glsl,"top,mat","vertex,pixel",,
buffer_length,Buffer Length,sgrape.builtin.buffer_length,texture,texture/buffer,texture,texture/buffer,glsl,"top,mat","vertex,pixel",,
pop_buffer,POP Buffer,sgrape.builtin.pop_buffer,shader,shader/buffers,shader,shader/buffers,touchdesigner,"top,mat","vertex,pixel",,source token needs review
attribute,Attribute,sgrape.builtin.attribute,shader,shader/geometry,uncategorized,uncategorized,editor,"top,mat",vertex,,catalog/UI category differs; unclassified built-in
struct_create,Structure,sgrape.builtin.struct_create,data,data,data,data,editor,"top,mat","vertex,pixel",,
radians,radians,sgrape.builtin.radians,math,math,math,math,glsl,"top,mat","vertex,pixel",,
degrees,degrees,sgrape.builtin.degrees,math,math,math,math,glsl,"top,mat","vertex,pixel",,
tan,tan,sgrape.builtin.tan,math,math,math,math,glsl,"top,mat","vertex,pixel",,
asin,asin,sgrape.builtin.asin,math,math,math,math,glsl,"top,mat","vertex,pixel",,
acos,acos,sgrape.builtin.acos,math,math,math,math,glsl,"top,mat","vertex,pixel",,
atan,atan,sgrape.builtin.atan,math,math,math,math,glsl,"top,mat","vertex,pixel",,
sinh,sinh,sgrape.builtin.sinh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
cosh,cosh,sgrape.builtin.cosh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
tanh,tanh,sgrape.builtin.tanh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
asinh,asinh,sgrape.builtin.asinh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
acosh,acosh,sgrape.builtin.acosh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
atanh,atanh,sgrape.builtin.atanh,math,math,math,math,glsl,"top,mat","vertex,pixel",,
atan2,"atan (y, x)",sgrape.builtin.atan2,math,math,math,math,glsl,"top,mat","vertex,pixel",,
exp,exp,sgrape.builtin.exp,math,math,math,math,glsl,"top,mat","vertex,pixel",,
log,log,sgrape.builtin.log,math,math,math,math,glsl,"top,mat","vertex,pixel",,
exp2,exp2,sgrape.builtin.exp2,math,math,math,math,glsl,"top,mat","vertex,pixel",,
log2,log2,sgrape.builtin.log2,math,math,math,math,glsl,"top,mat","vertex,pixel",,
inversesqrt,inversesqrt,sgrape.builtin.inversesqrt,math,math,math,math,glsl,"top,mat","vertex,pixel",,
round_even,roundEven,sgrape.builtin.round_even,math,math,math,math,glsl,"top,mat","vertex,pixel",,
step,step,sgrape.builtin.step,math,math,math,math,glsl,"top,mat","vertex,pixel",,
isnan,isnan,sgrape.builtin.isnan,math,math,math,math,glsl,"top,mat","vertex,pixel",,
isinf,isinf,sgrape.builtin.isinf,math,math,math,math,glsl,"top,mat","vertex,pixel",,
fma,fma,sgrape.builtin.fma,math,math,math,math,glsl,"top,mat","vertex,pixel",,
modf,modf,sgrape.builtin.modf,math,math,math,math,glsl,"top,mat","vertex,pixel",,
frexp,frexp,sgrape.builtin.frexp,math,math,math,math,glsl,"top,mat","vertex,pixel",,
ldexp,ldexp,sgrape.builtin.ldexp,math,math,math,math,glsl,"top,mat","vertex,pixel",,
mix_boolean,Boolean Mix,sgrape.builtin.mix_boolean,math,math,math,math,glsl,"top,mat","vertex,pixel",,
